Epoch,LOSS,NDCG,HR
0,0.516339409,0.046107692,0.114
1,0.50031142,0.044820614,0.098
2,0.496307889,0.077570964,0.16
3,0.466572102,0.123457072,0.236
4,0.410969494,0.186548282,0.35
5,0.371698301,0.218608121,0.394
6,0.35242682,0.233968809,0.414
7,0.342681975,0.240826507,0.426
8,0.336413267,0.245629811,0.438
9,0.331265051,0.245461863,0.45
10,0.326046487,0.248418427,0.456
11,0.320560171,0.245883672,0.446
12,0.314901387,0.250572698,0.462
13,0.309294044,0.257073601,0.482
14,0.303871193,0.257597151,0.484
15,0.298717904,0.260990394,0.492
16,0.29407786,0.268932121,0.512
17,0.289799709,0.271282667,0.512
18,0.285881498,0.271948084,0.516
19,0.282261254,0.275079608,0.528
20,0.278941749,0.280524977,0.534
21,0.275809219,0.277851984,0.53
22,0.272933914,0.279699142,0.53
23,0.270142562,0.281314319,0.532
24,0.267499261,0.284344308,0.532
25,0.265024783,0.285402971,0.538
26,0.262641554,0.284888164,0.53
27,0.260462452,0.28823873,0.54
28,0.258338528,0.289156533,0.542
29,0.256320751,0.294206874,0.542
30,0.254416988,0.296857902,0.552
31,0.252633954,0.296290286,0.548
32,0.250947516,0.296234532,0.55
33,0.24938942,0.302296181,0.566
34,0.248008781,0.298709703,0.562
35,0.246555886,0.296808523,0.564
36,0.245260282,0.300294087,0.57
37,0.244071853,0.300305946,0.57
38,0.243065529,0.299502707,0.556
39,0.241980409,0.301664736,0.566
40,0.240892643,0.301830214,0.572
41,0.240072472,0.304175643,0.57
42,0.239193988,0.304196457,0.564
43,0.238397203,0.304860348,0.566
44,0.237827732,0.308743895,0.576
45,0.237021156,0.307487947,0.574
46,0.236298554,0.309331201,0.582
47,0.235729139,0.312895668,0.592
48,0.23511943,0.313753085,0.596
49,0.234599015,0.317106848,0.598
50,0.234072189,0.315350729,0.6
51,0.233684834,0.316423839,0.6
52,0.233136693,0.317141172,0.602
53,0.232738631,0.317726701,0.6
54,0.232332935,0.320412589,0.606
55,0.231913621,0.319208164,0.596
56,0.23163896,0.318809697,0.598
57,0.23123578,0.319432395,0.598
58,0.230916811,0.320768048,0.6
59,0.230621469,0.321621401,0.602
60,0.230319935,0.322274145,0.6
61,0.230087479,0.319565694,0.604
62,0.229787149,0.320830748,0.602
63,0.229521924,0.320642801,0.602
64,0.229255457,0.321947356,0.602
65,0.229097706,0.318861488,0.606
66,0.228887367,0.323898229,0.608
67,0.228615235,0.32092393,0.604
68,0.228401537,0.321996715,0.6
69,0.228190766,0.321264242,0.598
70,0.228068946,0.321303465,0.604
